,date,county,state,fips,cases,deaths
608941,2020-10-08,Autauga,Alabama,1001,1863,28.0
608942,2020-10-08,Baldwin,Alabama,1003,6141,64.0
608943,2020-10-08,Barbour,Alabama,1005,927,9.0
608944,2020-10-08,Bibb,Alabama,1007,708,12.0
608945,2020-10-08,Blount,Alabama,1009,1681,16.0
608946,2020-10-08,Bullock,Alabama,1011,619,16.0
608947,2020-10-08,Butler,Alabama,1013,932,40.0
608948,2020-10-08,Calhoun,Alabama,1015,3752,45.0
608949,2020-10-08,Chambers,Alabama,1017,1222,43.0
608950,2020-10-08,Cherokee,Alabama,1019,654,13.0
608951,2020-10-08,Chilton,Alabama,1021,1684,30.0
608952,2020-10-08,Choctaw,Alabama,1023,369,12.0
608953,2020-10-08,Clarke,Alabama,1025,1184,16.0
608954,2020-10-08,Clay,Alabama,1027,627,9.0
608955,2020-10-08,Cleburne,Alabama,1029,449,6.0
608956,2020-10-08,Coffee,Alabama,1031,1497,6.0
608957,2020-10-08,Colbert,Alabama,1033,1771,27.0
608958,2020-10-08,Conecuh,Alabama,1035,542,12.0
608959,2020-10-08,Coosa,Alabama,1037,183,3.0
608960,2020-10-08,Covington,Alabama,1039,1514,28.0
608961,2020-10-08,Crenshaw,Alabama,1041,554,30.0
608962,2020-10-08,Cullman,Alabama,1043,2001,21.0
608963,2020-10-08,Dale,Alabama,1045,1527,48.0
608964,2020-10-08,Dallas,Alabama,1047,1817,26.0
608965,2020-10-08,DeKalb,Alabama,1049,2709,23.0
608966,2020-10-08,Elmore,Alabama,1051,2889,50.0
608967,2020-10-08,Escambia,Alabama,1053,1670,27.0
608968,2020-10-08,Etowah,Alabama,1055,3726,45.0
608969,2020-10-08,Fayette,Alabama,1057,490,10.0
608970,2020-10-08,Franklin,Alabama,1059,1871,30.0
608971,2020-10-08,Geneva,Alabama,1061,765,6.0
608972,2020-10-08,Greene,Alabama,1063,313,15.0
608973,2020-10-08,Hale,Alabama,1065,682,28.0
608974,2020-10-08,Henry,Alabama,1067,579,5.0
608975,2020-10-08,Houston,Alabama,1069,3428,25.0
608976,2020-10-08,Jackson,Alabama,1071,1745,12.0
608977,2020-10-08,Jefferson,Alabama,1073,20965,359.0
608978,2020-10-08,Lamar,Alabama,1075,404,3.0
608979,2020-10-08,Lauderdale,Alabama,1077,1880,37.0
