,NAME,STATE_NAME,FIPS,geometry,Date,Series_Complete_Pop_Pct,Series_Complete_Yes,POPESTIMATE2019,Minority_Pct
0,Lake of the Woods,Minnesota,27077,"POLYGON ((-95.34283127277658 48.546679319076, -95.34105289190684 48.71517195733587, -95.09435905148669 48.71735751795556, -95.09491035007436 48.91176243313237, -95.13382124476209 48.89448474990026, -95.21957848050616 48.87944650348885, -95.29026017093044 48.90294958174785, -95.31417172404038 48.93207199957641, -95.30375729897271 48.94593890485217, -95.32091645456259 48.96097699585145, -95.32323587682019 48.97895631299366, -95.31012059635258 48.993395445689, -95.27665710362751 48.99999118779381, -95.15774989320504 48.9999959019614, -95.15186733731112 49.37173013664074, -94.83203924782775 49.33080592976444, -94.68124996659202 48.87716132370133, -94.69443202246646 48.77761551038913, -94.57031275583246 48.71367627110933, -94.43063445677862 48.71078529488466, -94.43169006769017 48.36821243467153, -95.21178803364391 48.36900472565064, -95.21983978008106 48.54435777285279, -95.34283127277658 48.546679319076))",2021-10-09,49.7,1857,3740,0.06670209938878557
300,Ferry,Washington,53019,"POLYGON ((-118.8516288013387 47.94956368481996, -118.8484604662869 48.47806574951402, -118.8702581555677 48.47916415056214, -118.8710556269508 48.64723759053491, -118.8397360443977 48.64903845435776, -118.8436028015091 48.99989845856322, -118.2003547376642 48.99990881937111, -118.2123633802414 48.98125812187784, -118.2149478319647 48.93683916269727, -118.2008085410496 48.91337887457483, -118.2096650632394 48.87492976109462, -118.1409922816603 48.78490718795969, -118.1245422197622 48.78226777215052, -118.1279436729915 48.74250262885251, -118.1150260767384 48.7065677726222, -118.1243038693768 48.69032430523336, -118.090068341052 48.64347962190627, -118.1223195156463 48.61597830788374, -118.1269733833329 48.57022389237058, -118.1476119572314 48.5432797825962, -118.1459790421044 48.52805509344688, -118.1954963994339 48.48194110609602, -118.2126323986182 48.45225790954058, -118.1703898825464 48.29805681426771, -118.1455312479875 48.27335260755039, -118.1483305828664 48.24012560026534, -118.190400643291 48.20611220766169, -118.1947402158703 48.14752437745949, -118.2462712480167 48.1175774465393, -118.2366715450773 48.07525618832754, -118.2498171309079 48.05624685146926, -118.2806566454276 48.04352419381652, -118.3657448838064 48.041337545312, -118.3863068913346 48.02362144449417, -118.3810339135727 47.99787167684894, -118.3553891009114 47.96633524258679, -118.3442628365379 47.88537853176497, -118.3681583303956 47.83587034375037, -118.4328823490687 47.8389024859825, -118.4593436969996 47.8773092755625, -118.5070070395619 47.86943133167765, -118.5293546287213 47.87379509674344, -118.5438370695936 47.91600523529061, -118.5567849194058 47.92185308247811, -118.6255821860916 47.92198181551611, -118.682576731257 47.93512672789427, -118.7294067022368 47.89539909072082, -118.8205292823451 47.92325355288018, -118.8318218376853 47.94106839219718, -118.8516288013387 47.94956368481996))",2021-10-09,48.1,3671,7627,0.28698801894678183
600,Stevens,Washington,53065,"POLYGON ((-117.438831576286 48.04411548512263, -117.5421921872581 48.04329014316636, -117.5367092995284 47.79001268278663, -117.6081222557733 47.79800412932188, -117.627250379294 47.82692363072796, -117.662438583904 47.84425379145202, -117.6749675980573 47.88379358717848, -117.6984130184204 47.87032350084479, -117.7115501601926 47.83940871505585, -117.7269387573228 47.83058125493222, -117.8048157180002 47.81127337139468, -117.8217085490234 47.81624360635012, -117.8428516942659 47.83683130868188, -117.8699305981509 47.84725262368679, -117.9363409419158 47.8279445329331, -117.9942826203341 47.8298429437622, -118.0321717839521 47.79871778176913, -118.0718465810053 47.79658112416266, -118.1033122509496 47.82625587665966, -118.1209066122748 47.83118057586444, -118.1262175623975 47.86566984037434, -118.1589116097249 47.88566645861614, -118.2131833863816 47.94047254213561, -118.2784181928836 47.9302139954226, -118.3281486720314 47.88829696413054, -118.3442628365379 47.88537853176497, -118.3553891009114 47.96633524258679, -118.3810339135727 47.99787167684894, -118.3863068913346 48.02362144449417, -118.3657448838064 48.041337545312, -118.2806566454276 48.04352419381652, -118.2498171309079 48.05624685146926, -118.2366715450773 48.07525618832754, -118.2462712480167 48.1175774465393, -118.1947402158703 48.14752437745949, -118.190400643291 48.20611220766169, -118.1483305828664 48.24012560026534, -118.1455312479875 48.27335260755039, -118.1703898825464 48.29805681426771, -118.2126323986182 48.45225790954058, -118.1954963994339 48.48194110609602, -118.1459790421044 48.52805509344688, -118.1476119572314 48.5432797825962, -118.1269733833329 48.57022389237058, -118.1223195156463 48.61597830788374, -118.090068341052 48.64347962190627, -118.1243038693768 48.69032430523336, -118.1150260767384 48.7065677726222, -118.1279436729915 48.74250262885251, -118.1245422197622 48.78226777215052, -118.1409922816603 48.78490718795969, -118.2096650632394 48.87492976109462, -118.2008085410496 48.91337887457483, -118.2149478319647 48.93683916269727, -118.2123633802414 48.98125812187784, -118.2003547376642 48.99990881937111, -117.4385804303028 48.99991850672649, -117.4338877095866 48.92108172080639, -117.4996162085844 48.91900816051996, -117.5003714596753 48.83995384943827, -117.5660182118989 48.83831974281836, -117.5672618714736 48.74635275686731, -117.6355410977651 48.74466943640993, -117.6359879076052 48.65135590806186, -117.5064180789621 48.6528074572468, -117.5003217796015 48.13331225006495, -117.4401070953449 48.13305369610413, -117.438831576286 48.04411548512263))",2021-10-09,34.2,15655,45723,0.15355797179459574
900,Okanogan,Washington,53047,"POLYGON ((-118.972093862835 47.93915200536639, -118.9740628825699 47.95939692036921, -118.9540205213613 47.98870210284889, -118.9542730142495 48.01957497916992, -119.0037902161669 48.04789904494675, -119.0230638054304 48.10247273554531, -119.0483184818707 48.13114792910142, -119.124714675885 48.14982390696593, -119.2477345053901 48.10594474587626, -119.3147311672732 48.10669165651683, -119.3342628442611 48.08561865394365, -119.3366122610575 48.05700407111367, -119.3625531338042 48.0455061127572, -119.4044479929674 48.04524999358624, -119.4589935021685 48.07564161038093, -119.509739029665 48.07657947071085, -119.6143656277528 48.00505902108409, -119.6397194053206 47.99720412999679, -119.6621359456565 48.00046545329938, -119.6908398904545 48.02479962376302, -119.6755661428798 48.08040784102908, -119.7284257414216 48.08307383231048, -119.7439757081345 48.09890504315351, -119.7636377758897 48.09989667607636, -119.7731824111352 48.08587715610042, -119.8104312250217 48.08697529812835, -119.8947631762289 48.05205352169322, -119.8948621737482 48.03914426589044, -119.8708278450648 48.01521442595458, -119.886102162484 47.97895102850617, -119.8723450299677 47.95803877386736, -120.0620148487241 47.95767339997723, -120.0680657159421 47.98565462662108, -120.0923361156332 47.99894495293795, -120.0912299439792 48.01833178583158, -120.1201848275442 48.03013057024504, -120.1381682890096 48.05277883004933, -120.225971421683 48.09180695727831, -120.2721543084064 48.12208450157816, -120.3206640253649 48.13108680033488, -120.3374875943873 48.1422143598094, -120.3492374757876 48.15991875291433, -120.3510688521896 48.20831341310129, -120.3778720031727 48.21550780268579, -120.3946269318429 48.23770977069037, -120.454115841507 48.25977746262473, -120.5063719229894 48.29770268185413, -120.5678358098529 48.31691581580355, -120.5714142774849 48.33251789738016, -120.5460309716146 48.35255342045559, -120.548678572462 48.36356644119891, -120.5594898164717 48.37483102235773, -120.5938230990189 48.3813342424481, -120.6287669439748 48.39844231925511, -120.6507256920142 48.4380423112754, -120.6500926466524 48.45098565413612, -120.6290808764538 48.46446356287976, -120.6496735519733 48.47963033511301, -120.6273952766187 48.49498893770428, -120.6505896546067 48.50778282591124, -120.6471109615547 48.5305069786333, -120.6536268218306 48.53727025500164, -120.6991223725587 48.53468658033889, -120.6865719633371 48.55349714509786, -120.6927600594556 48.57828480812272, -120.7124905085428 48.58931642651619, -120.7501273864888 48.57999630997755, -120.7726654591012 48.59232867599718, -120.7758170614482 48.6227431901773, -120.7627020918049 48.64343061528497, -120.7457415010981 48.64527344037977, -120.7401796640124 48.65512693130843, -120.7091958234388 48.6624174173861, -120.7100505900895 48.67719172221658, -120.6940134581897 48.69517829192431, -120.6680268942803 48.69447303173145, -120.6586582373567 48.72199232175566, -120.6655938139602 48.73568314510139, -120.7222370241301 48.76979325584666, -120.7351317748018 48.79164761874664, -120.7310593556538 48.85096282946652, -120.7683541715273 48.89160050820072, -120.7698274266048 48.91654881555186, -120.7514480786701 48.93045757849148, -120.7612984095524 48.94638773504983, -120.7892536823724 48.95535957303136, -120.8273937329534 48.93951644725927, -120.8746523305556 48.96136651042396, -120.8758351203839 48.96966349718379, -120.857303105945 48.98081804656285, -120.8570594715475 48.99983064707561, -118.8436028015091 48.99989845856322, -118.8397360443977 48.64903845435776, -118.8710556269508 48.64723759053491, -118.8702581555677 48.47916415056214, -118.8484604662869 48.47806574951402, -118.8516288013387 47.94956368481996, -118.9376304485408 47.9373326993055, -118.972093862835 47.93915200536639))",2021-10-09,60.8,25669,42243,0.34433783013490404
1201,Pend Oreille,Washington,53051,"POLYGON ((-117.4385804303028 48.99991850672649, -117.0320495259435 48.99993130232423, -117.0291117188672 48.83807527955628, -117.0388684398502 48.04618598897073, -117.438831576286 48.04411548512263, -117.4401070953449 48.13305369610413, -117.5003217796015 48.13331225006495, -117.5064180789621 48.6528074572468, -117.6359879076052 48.65135590806186, -117.6355410977651 48.74466943640993, -117.5672618714736 48.74635275686731, -117.5660182118989 48.83831974281836, -117.5003714596753 48.83995384943827, -117.4996162085844 48.91900816051996, -117.4338877095866 48.92108172080639, -117.4385804303028 48.99991850672649))",2021-10-09,34.8,4780,13724,0.11864786209984335
1501,Boundary,Idaho,16021,"POLYGON ((-117.0291117188672 48.83807527955628, -117.0320495259435 48.99993130232423, -116.0635313064686 48.99995046981882, -116.0566921889866 48.49866521136273, -116.7867420134227 48.49612976626069, -116.7876782678274 48.83653809829414, -117.0291117188672 48.83807527955628))",2021-10-09,28.8,3526,12245,0.11123092236230925
1801,Lincoln,Montana,30053,"POLYGON ((-116.0554974842291 48.20848379658699, -116.0566921889866 48.49866521136273, -116.0635313064686 48.99995046981882, -114.729325264385 48.99997015535381, -114.7161939764692 48.97956521767317, -114.6843549030087 48.96886897863098, -114.7194885061611 48.92549868862068, -114.7087914900583 48.91792649217658, -114.6882809239413 48.84082674750275, -114.7265584106388 48.82250029149229, -114.7298844889907 48.80590989245135, -114.664864203016 48.78866401689946, -114.6152857687239 48.74299808268566, -114.6518542919646 48.73298405103878, -114.6882698896809 48.70817266176388, -114.680784724023 48.68864502549106, -114.6895812571351 48.67169225719428, -114.6626560558351 48.66154529638222, -114.6549268931515 48.6489414253919, -114.8896076358471 48.6480464070026, -114.8882777743508 48.56396586079885, -114.8502056388655 48.5615400848483, -114.8520885602868 48.21914755449644, -115.0201780595118 48.21748625075583, -115.0096769144822 48.00850357527415, -115.1515792127529 48.00585037959048, -115.1503730074988 47.97727351010121, -115.1299699865676 47.95902755756804, -115.1538590567244 47.94967335397144, -115.1759783972861 47.95503289628323, -115.1783577050133 47.91820851289179, -115.2023151565021 47.90562318774759, -115.2529317955485 47.90396696080285, -115.2653450794777 47.8935257530468, -115.2876698230558 47.8905804861888, -115.3350899974569 47.90773891652213, -115.3872470814199 47.89822044231649, -115.3979518681286 47.90156589537911, -115.4141284565025 47.92939088104003, -115.4288224650719 47.90744415153775, -115.4881140013458 47.90948445363087, -115.5226980154438 47.90064093425501, -115.543472833966 47.90638916227468, -115.5591291543719 47.93004040008645, -115.5441774207063 47.9653582702071, -115.5509915686414 47.99260709134144, -115.600267260127 48.02398293308134, -115.6358931570661 48.06396586056113, -115.6576482634266 48.12271107143512, -115.6787186757978 48.15103218438171, -115.696814914657 48.15949670540506, -115.6872456724927 48.19721522651713, -115.7148003964799 48.24219947137601, -115.7498341214442 48.25266207420035, -115.7681676746081 48.25098300167421, -115.8075835032682 48.20889574230857, -115.871488603686 48.19559500337979, -115.9049523036272 48.17880075544367, -115.9510956638684 48.17223770168776, -115.9589093189403 48.14971050792361, -115.9711701435815 48.14472783999871, -116.0143912379583 48.15010934722322, -116.0243321223014 48.16401054677308, -116.0158007740672 48.19068843558881, -116.0217361700814 48.20133561620565, -116.0554974842291 48.20848379658699))",2021-10-09,30.6,6119,19980,0.08786908573461405
2101,Flathead,Montana,30029,"POLYGON ((-113.4736300572054 47.59757632110833, -113.637319528537 47.60026515797112, -113.6285918429933 47.65206966364173, -113.6028493279136 47.66893472769974, -113.6035440718865 47.69427617590614, -113.6083662508972 47.70498422626932, -113.6386409977789 47.70480115079395, -113.6439743272468 47.71874415620364, -113.6707625068625 47.73412917885502, -113.671540862555 47.74519959847404, -113.6525430261934 47.76132474543682, -113.6835119990076 47.80075875731475, -113.6674287097087 47.81234814980083, -113.6751881777554 47.85814136653951, -113.6667193051927 47.87867270607637, -113.7297704160204 47.91196125656026, -113.7483941754132 47.94419668272649, -113.7602965161015 47.94908734667736, -113.7721761666205 47.94106471411038, -113.8088295448778 47.97785879213875, -113.8434841160775 47.97358236868345, -113.8624212381048 48.00074022192453, -113.8639405987774 48.02520504217563, -113.8819323488891 48.04451209684854, -114.0239303810247 48.04347057663571, -114.0219766952855 48.02729549057892, -114.0531370840254 48.0256511267592, -114.054014022805 48.00631350770303, -114.0791315221489 48.0036162267818, -114.0651381632129 47.98442381444816, -114.0482226938245 47.98498464497908, -114.0409055804706 47.95303543613073, -114.5011846262559 47.95376618391099, -114.5010542872927 47.86945795895392, -114.486275734531 47.8682715428428, -114.4849246333785 47.78119755202438, -114.6074312402649 47.78106032312392, -114.6090258204027 47.86582613316131, -114.9871213321044 47.86491003052795, -114.9876034204954 48.00173998808158, -115.0092114033838 48.00158721796929, -115.0096769144822 48.00850357527415, -115.0201780595118 48.21748625075583, -114.8520885602868 48.21914755449644, -114.8502056388655 48.5615400848483, -114.8882777743508 48.56396586079885, -114.8896076358471 48.6480464070026, -114.6549268931515 48.6489414253919, -114.6626560558351 48.66154529638222, -114.6895812571351 48.67169225719428, -114.680784724023 48.68864502549106, -114.6882698896809 48.70817266176388, -114.6518542919646 48.73298405103878, -114.6152857687239 48.74299808268566, -114.664864203016 48.78866401689946, -114.7298844889907 48.80590989245135, -114.7265584106388 48.82250029149229, -114.6882809239413 48.84082674750275, -114.7087914900583 48.91792649217658, -114.7194885061611 48.92549868862068, -114.6843549030087 48.96886897863098, -114.7161939764692 48.97956521767317, -114.729325264385 48.99997015535381, -114.0634634940301 48.9999775115274, -114.0679191594618 48.98514176710614, -114.0567337348753 48.95992620271556, -114.0234527995852 48.95320872111809, -114.0529490871663 48.92283513212912, -114.0311738290346 48.91960043610281, -114.018920360567 48.90315120306933, -114.0180886467139 48.89157336288406, -114.0344695502193 48.87804219958787, -114.0224754645772 48.85605392324597, -113.9902855741616 48.84195483226546, -113.9955346702613 48.81755922221105, -113.9509313923085 48.80596293978773, -113.9217019991385 48.81642735575345, -113.9111576495399 48.83654291606981, -113.8752446028102 48.82927247815541, -113.8512413565505 48.84445960937615, -113.822431679708 48.83178730524975, -113.8039601205831 48.8318333590408, -113.7728541778886 48.81077610489561, -113.7819493612881 48.77954034127834, -113.7719243471848 48.76127900294546, -113.7182029884471 48.72905958422741, -113.7100919781888 48.70067345721134, -113.7126096545053 48.69148735772269, -113.7370630260637 48.68050433151821, -113.7313479008252 48.65864924336168, -113.7488730519537 48.63595099265933, -113.753091662101 48.60647760246361, -113.684568749608 48.58638877303161, -113.6369821288282 48.58387094130299, -113.6111859447636 48.56892438804138, -113.5559010883117 48.57034723778848, -113.5075899362363 48.54374612255919, -113.483899949003 48.54083929429846, -113.483998428482 48.43923546191164, -113.4643823627139 48.42488822958225, -113.4216101503388 48.41133080163807, -113.3678666712763 48.41179284186579, -113.3406352044951 48.36444757610565, -113.3888618123782 48.32831353334372, -113.3686653341522 48.30101881383044, -113.3617068601633 48.2920693033899, -113.3428842250631 48.28880777287116, -113.3448371855458 48.27824456660224, -113.3094349266449 48.26854369037375, -113.2862627207857 48.24670398801694, -113.2612294548099 48.24557108547855, -113.232700348645 48.22311662458578, -113.243404151077 48.20217655117779, -113.2367262995697 48.16554964478468, -113.2114328219038 48.15794279143819, -113.1860560951465 48.16324939002168, -113.1587707003603 48.14358747767865, -113.1189497641119 48.13002942808599, -113.0794428639504 48.14506793351759, -113.0649381991452 48.13866656016874, -113.0574676422265 48.11676909630798, -113.003005744745 48.12167524966663, -112.9951849925197 48.11684188098337, -112.9988614733943 48.09019093026815, -112.9814340764882 48.06570720154266, -112.9419034500768 48.04887648356279, -112.9488532209871 48.02417486704744, -112.9005026460377 48.00846570652132, -112.8858524636857 47.9729918026339, -112.9276019607142 47.94286578514939, -112.9847720697692 47.94637473176047, -113.0295431928098 47.92092200847736, -113.0764511806731 47.91534064126871, -113.0906423274317 47.90375503047752, -113.0914507294671 47.89041082795966, -113.0649823879909 47.87077238284649, -113.0688633912131 47.77319356891159, -113.0935753685364 47.74302988989042, -113.1519580547424 47.7345264122294, -113.1658056889155 47.7164865361651, -113.1613951966062 47.68873076070086, -113.1308448522346 47.64827988733288, -113.1520622326657 47.59638436196499, -113.4736300572054 47.59757632110833))",2021-10-09,36.6,37982,103806,0.09344845099035048
2401,Glacier,Montana,30035,"POLYGON ((-112.1827335389939 48.47116514063714, -112.2291534291976 48.47876769424835, -112.5835263171211 48.47468631300153, -112.5879831740458 48.30024330736011, -113.3686653341522 48.30101881383044, -113.3888618123782 48.32831353334372, -113.3406352044951 48.36444757610565, -113.3678666712763 48.41179284186579, -113.4216101503388 48.41133080163807, -113.4643823627139 48.42488822958225, -113.483998428482 48.43923546191164, -113.483899949003 48.54083929429846, -113.5075899362363 48.54374612255919, -113.5559010883117 48.57034723778848, -113.6111859447636 48.56892438804138, -113.6369821288282 48.58387094130299, -113.684568749608 48.58638877303161, -113.753091662101 48.60647760246361, -113.7488730519537 48.63595099265933, -113.7313479008252 48.65864924336168, -113.7370630260637 48.68050433151821, -113.7126096545053 48.69148735772269, -113.7100919781888 48.70067345721134, -113.7182029884471 48.72905958422741, -113.7719243471848 48.76127900294546, -113.7819493612881 48.77954034127834, -113.7728541778886 48.81077610489561, -113.8039601205831 48.8318333590408, -113.822431679708 48.83178730524975, -113.8512413565505 48.84445960937615, -113.8752446028102 48.82927247815541, -113.9111576495399 48.83654291606981, -113.9217019991385 48.81642735575345, -113.9509313923085 48.80596293978773, -113.9955346702613 48.81755922221105, -113.9902855741616 48.84195483226546, -114.0224754645772 48.85605392324597, -114.0344695502193 48.87804219958787, -114.0180886467139 48.89157336288406, -114.018920360567 48.90315120306933, -114.0311738290346 48.91960043610281, -114.0529490871663 48.92283513212912, -114.0234527995852 48.95320872111809, -114.0567337348753 48.95992620271556, -114.0679191594618 48.98514176710614, -114.0634634940301 48.9999775115274, -112.1883874318577 48.99999191305037, -112.1970372559301 48.91012625435088, -112.1874924652724 48.90933665718183, -112.1827335389939 48.47116514063714))",2021-10-09,70.4,9686,13753,0.7440847728262447
2701,Toole,Montana,30101,"POLYGON ((-111.4223100737647 48.21776252169813, -111.6735450044776 48.21292749528561, -111.6741587269328 48.33720403898334, -111.799791603991 48.33870666695117, -111.800143612439 48.38491555930228, -111.9917963344127 48.38683723014509, -111.9931475909773 48.43077964396691, -112.0038294803006 48.44224677891992, -112.0151214657963 48.4371043473374, -112.02665786275 48.4462940731088, -112.0555592845463 48.43346086563591, -112.0835606111575 48.43213690980009, -112.1396479121802 48.46459644024091, -112.1731274641575 48.46297870369746, -112.1827335389939 48.47116514063714, -112.1874924652724 48.90933665718183, -112.1970372559301 48.91012625435088, -112.1883874318577 48.99999191305037, -111.2826794344272 49.00001159858535, -111.2866061288122 48.21937310928415, -111.4223100737647 48.21776252169813))",2021-10-09,39.6,1874,4736,0.14142023737678533
